feature_mode,hidden_dim,params,best_epoch,epochs_run,final_val_loss,final_val_acc,latency_ms,learned_anything
text,32,36849,7,13,0.6794511219872857,0.6221198156682027,0.573,True
text,128,88209,5,11,0.6560929699152845,0.7039170506912442,0.602,True
text,512,846609,3,9,0.6819070026896517,0.6970046082949308,0.443,True
prosody,32,35697,25,30,0.6570661957912182,0.673963133640553,0.223,True
prosody,128,83601,8,14,0.6605214775981991,0.6808755760368663,0.219,True
prosody,512,828177,9,15,0.6549052333776852,0.6970046082949308,0.275,True
both,32,37233,8,14,0.6370790551335032,0.6232718894009217,0.456,True
both,128,89745,3,9,0.6550214849584114,0.6509216589861752,0.463,True
both,512,852753,3,9,0.6512865744153475,0.7407834101382489,0.449,True
