timestamp_utc,label,device_type,device_name,torch_version,ttft_ms,throughput_samples_per_sec,vram_total_gb,vram_used_gb,recommended_role
2026-08-02T07:23:46+00:00,zenbook-cpu,cpu,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",2.10.0+cpu,8.431,961.5,,,orchestrator/dashboard only (no CUDA)
2026-08-02T12:56:31+00:00,colab-t4,cuda,Tesla T4,2.5.1+cu124,1.108,7691.0,15.64,0.279,serving: ASR + LLM + TTS (headline latency measured here)
