feature_mode,hidden_dim,params,best_epoch,epochs_run,final_val_loss,final_val_acc,latency_ms,learned_anything
text,32,36849,1,7,0.6177375193560687,0.6920415224913494,0.426,True
text,128,88209,0,6,0.6167469195153612,0.6920415224913494,0.631,True
text,512,846609,0,6,0.6321591046717203,0.6897347174163783,0.631,True
prosody,32,35697,22,28,0.553305922907529,0.7058823529411765,0.235,True
prosody,128,83601,10,16,0.5560655662620219,0.698961937716263,0.23,True
prosody,512,828177,14,20,0.5564084262033923,0.7047289504036909,0.272,True
both,32,37233,2,8,0.6269896962650919,0.6920415224913494,0.515,True
both,128,89745,2,8,0.5944844748322115,0.657439446366782,0.467,True
both,512,852753,1,7,0.6117673645520018,0.6459054209919262,0.48,True
